GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2016 inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2016 inflation-adjusted dollars)
8600000US00962,00962,ZCTA5 00962,15782,1296
8600000US00965,00965,ZCTA5 00965,15274,1899
8600000US00966,00966,ZCTA5 00966,50570,6908
8600000US00968,00968,ZCTA5 00968,46047,6017
8600000US00969,00969,ZCTA5 00969,53175,2836
8600000US00971,00971,ZCTA5 00971,20860,2254
8600000US00976,00976,ZCTA5 00976,30027,1424
8600000US00979,00979,ZCTA5 00979,35251,4139
8600000US00982,00982,ZCTA5 00982,25362,4104
8600000US00983,00983,ZCTA5 00983,27612,1678
8600000US00985,00985,ZCTA5 00985,24091,1271
8600000US00987,00987,ZCTA5 00987,31758,1526
8600000US01001,01001,ZCTA5 01001,56714,6167
8600000US01002,01002,ZCTA5 01002,48923,4421
8600000US01003,01003,ZCTA5 01003,"2,500-",***
8600000US01005,01005,ZCTA5 01005,70568,11002
8600000US01007,01007,ZCTA5 01007,80502,6457
8600000US01008,01008,ZCTA5 01008,67250,7495
8600000US01009,01009,ZCTA5 01009,-,**
8600000US01010,01010,ZCTA5 01010,83273,17084
8600000US01011,01011,ZCTA5 01011,74722,13218
8600000US01012,01012,ZCTA5 01012,60417,12755
8600000US01013,01013,ZCTA5 01013,40876,2642
8600000US01020,01020,ZCTA5 01020,57851,4323
8600000US01022,01022,ZCTA5 01022,44701,5075
8600000US01026,01026,ZCTA5 01026,50924,5223
8600000US01027,01027,ZCTA5 01027,61217,6149
8600000US01028,01028,ZCTA5 01028,83003,5394
8600000US01029,01029,ZCTA5 01029,54375,27582
8600000US01030,01030,ZCTA5 01030,64874,6075
8600000US01031,01031,ZCTA5 01031,39327,11379
8600000US01032,01032,ZCTA5 01032,73750,12101
8600000US01033,01033,ZCTA5 01033,86951,5593
8600000US01034,01034,ZCTA5 01034,82159,4694
8600000US01035,01035,ZCTA5 01035,62634,8903
8600000US01036,01036,ZCTA5 01036,80375,11277
8600000US01037,01037,ZCTA5 01037,80417,19321
8600000US01038,01038,ZCTA5 01038,65887,8431
8600000US01039,01039,ZCTA5 01039,74107,17616
8600000US01040,01040,ZCTA5 01040,38829,2888
8600000US01050,01050,ZCTA5 01050,72386,12521
8600000US01053,01053,ZCTA5 01053,66528,18729
8600000US01054,01054,ZCTA5 01054,86771,8268
8600000US01056,01056,ZCTA5 01056,64537,5694
8600000US01057,01057,ZCTA5 01057,74439,6672
8600000US01060,01060,ZCTA5 01060,56128,4044
8600000US01062,01062,ZCTA5 01062,73913,9215
8600000US01063,01063,ZCTA5 01063,-,**
8600000US01066,01066,ZCTA5 01066,-,**
8600000US01068,01068,ZCTA5 01068,85052,5112
8600000US01069,01069,ZCTA5 01069,57994,9347
8600000US01070,01070,ZCTA5 01070,55208,6190
8600000US01071,01071,ZCTA5 01071,70938,4046
8600000US01072,01072,ZCTA5 01072,75658,8836
8600000US01073,01073,ZCTA5 01073,90318,12665
8600000US01074,01074,ZCTA5 01074,-,**
8600000US01075,01075,ZCTA5 01075,61821,5340
8600000US01077,01077,ZCTA5 01077,76576,7429
8600000US01079,01079,ZCTA5 01079,31778,9721
8600000US01080,01080,ZCTA5 01080,51023,15647
8600000US01081,01081,ZCTA5 01081,51182,7989
8600000US01082,01082,ZCTA5 01082,52178,5465
8600000US01083,01083,ZCTA5 01083,45954,12333
8600000US01084,01084,ZCTA5 01084,68750,27644
8600000US01085,01085,ZCTA5 01085,63283,3661
8600000US01086,01086,ZCTA5 01086,-,**
8600000US01088,01088,ZCTA5 01088,61875,21322
8600000US01089,01089,ZCTA5 01089,50649,4263
8600000US01092,01092,ZCTA5 01092,77150,49525
8600000US01093,01093,ZCTA5 01093,84167,42928
8600000US01094,01094,ZCTA5 01094,18454,11326
8600000US01095,01095,ZCTA5 01095,95679,11427
8600000US01096,01096,ZCTA5 01096,73589,8564
8600000US01097,01097,ZCTA5 01097,31250,29190
8600000US01098,01098,ZCTA5 01098,77083,8902
8600000US01103,01103,ZCTA5 01103,16760,3042
8600000US01104,01104,ZCTA5 01104,28590,3444
8600000US01105,01105,ZCTA5 01105,16455,2290
8600000US01106,01106,ZCTA5 01106,105822,8295
8600000US01107,01107,ZCTA5 01107,22956,3259
8600000US01108,01108,ZCTA5 01108,36890,4035
8600000US01109,01109,ZCTA5 01109,35076,2693
8600000US01118,01118,ZCTA5 01118,60295,6966
8600000US01119,01119,ZCTA5 01119,49083,7755
8600000US01128,01128,ZCTA5 01128,70078,16520
8600000US01129,01129,ZCTA5 01129,60776,6244
8600000US01151,01151,ZCTA5 01151,36541,5265
8600000US01199,01199,ZCTA5 01199,-,**
8600000US01201,01201,ZCTA5 01201,45893,1891
8600000US01220,01220,ZCTA5 01220,48422,3201
8600000US01222,01222,ZCTA5 01222,76944,11475
8600000US01223,01223,ZCTA5 01223,72981,8912
8600000US01224,01224,ZCTA5 01224,36324,9917
8600000US01225,01225,ZCTA5 01225,58145,7069
8600000US01226,01226,ZCTA5 01226,57202,9271
8600000US01229,01229,ZCTA5 01229,27083,24178
8600000US01230,01230,ZCTA5 01230,59702,9469
8600000US01235,01235,ZCTA5 01235,60718,5506
8600000US01236,01236,ZCTA5 01236,80385,24275
8600000US01237,01237,ZCTA5 01237,83311,11965
8600000US01238,01238,ZCTA5 01238,63109,7890
8600000US01240,01240,ZCTA5 01240,54250,12439
8600000US01242,01242,ZCTA5 01242,56840,30939
8600000US01243,01243,ZCTA5 01243,76250,25682
8600000US01244,01244,ZCTA5 01244,-,**
8600000US01245,01245,ZCTA5 01245,66136,18182
8600000US01247,01247,ZCTA5 01247,38007,3679
8600000US01253,01253,ZCTA5 01253,71010,2731
8600000US01254,01254,ZCTA5 01254,89583,29362
8600000US01255,01255,ZCTA5 01255,67333,9791
8600000US01256,01256,ZCTA5 01256,49000,9669
8600000US01257,01257,ZCTA5 01257,50688,23542
8600000US01258,01258,ZCTA5 01258,65739,10693
8600000US01259,01259,ZCTA5 01259,61125,20302
8600000US01260,01260,ZCTA5 01260,101979,65087
8600000US01262,01262,ZCTA5 01262,45500,16499
8600000US01264,01264,ZCTA5 01264,75417,36456
8600000US01266,01266,ZCTA5 01266,68542,11740
8600000US01267,01267,ZCTA5 01267,73085,7942
8600000US01270,01270,ZCTA5 01270,71250,11481
8600000US01301,01301,ZCTA5 01301,49024,3279
8600000US01330,01330,ZCTA5 01330,79118,8711
8600000US01331,01331,ZCTA5 01331,51750,5521
8600000US01337,01337,ZCTA5 01337,65139,3140
8600000US01338,01338,ZCTA5 01338,66375,17876
8600000US01339,01339,ZCTA5 01339,51346,9180
8600000US01340,01340,ZCTA5 01340,54063,5791
8600000US01341,01341,ZCTA5 01341,89688,15962
8600000US01342,01342,ZCTA5 01342,102219,40859
8600000US01343,01343,ZCTA5 01343,83125,15387
8600000US01344,01344,ZCTA5 01344,61563,12261
8600000US01346,01346,ZCTA5 01346,56500,5637
8600000US01347,01347,ZCTA5 01347,39211,6561
8600000US01349,01349,ZCTA5 01349,60493,6753
8600000US01350,01350,ZCTA5 01350,31750,5688
8600000US01351,01351,ZCTA5 01351,81833,15314
8600000US01354,01354,ZCTA5 01354,74167,10952
8600000US01355,01355,ZCTA5 01355,68681,7891
8600000US01360,01360,ZCTA5 01360,63963,9957
8600000US01364,01364,ZCTA5 01364,37911,5341
8600000US01366,01366,ZCTA5 01366,65774,6654
8600000US01367,01367,ZCTA5 01367,50357,7429
8600000US01368,01368,ZCTA5 01368,67333,10944
8600000US01370,01370,ZCTA5 01370,54803,5803
8600000US01373,01373,ZCTA5 01373,71174,13308
8600000US01375,01375,ZCTA5 01375,53934,12200
8600000US01376,01376,ZCTA5 01376,41836,12225
8600000US01378,01378,ZCTA5 01378,56985,4545
8600000US01379,01379,ZCTA5 01379,44750,5903
8600000US01420,01420,ZCTA5 01420,50617,3746
8600000US01430,01430,ZCTA5 01430,86219,9732
8600000US01431,01431,ZCTA5 01431,89934,10597
8600000US01432,01432,ZCTA5 01432,77462,9927
8600000US01434,01434,ZCTA5 01434,54318,39658
8600000US01436,01436,ZCTA5 01436,77083,23784
8600000US01438,01438,ZCTA5 01438,70028,17729
8600000US01440,01440,ZCTA5 01440,46410,2348
8600000US01450,01450,ZCTA5 01450,117500,7614
8600000US01451,01451,ZCTA5 01451,140192,14136
8600000US01452,01452,ZCTA5 01452,84803,7281
8600000US01453,01453,ZCTA5 01453,56577,4045
8600000US01460,01460,ZCTA5 01460,108704,10643
8600000US01462,01462,ZCTA5 01462,89706,9155
8600000US01463,01463,ZCTA5 01463,84980,6914
8600000US01464,01464,ZCTA5 01464,68864,9754
8600000US01467,01467,ZCTA5 01467,131667,88295
8600000US01468,01468,ZCTA5 01468,62589,9988
8600000US01469,01469,ZCTA5 01469,81317,5639
8600000US01473,01473,ZCTA5 01473,96953,8297
8600000US01474,01474,ZCTA5 01474,98221,19693
8600000US01475,01475,ZCTA5 01475,61998,8360
8600000US01501,01501,ZCTA5 01501,71976,3729
8600000US01503,01503,ZCTA5 01503,97614,14700
8600000US01504,01504,ZCTA5 01504,75544,4626
8600000US01505,01505,ZCTA5 01505,93197,9198
8600000US01506,01506,ZCTA5 01506,63906,11544
8600000US01507,01507,ZCTA5 01507,92227,7276
8600000US01510,01510,ZCTA5 01510,60755,5900
8600000US01515,01515,ZCTA5 01515,80714,11236
8600000US01516,01516,ZCTA5 01516,88958,7146
8600000US01518,01518,ZCTA5 01518,53664,13838
8600000US01519,01519,ZCTA5 01519,114615,15958
8600000US01520,01520,ZCTA5 01520,99575,6149
8600000US01521,01521,ZCTA5 01521,75658,6557
8600000US01522,01522,ZCTA5 01522,102602,4576
8600000US01523,01523,ZCTA5 01523,97958,17555
8600000US01524,01524,ZCTA5 01524,60288,11041
8600000US01525,01525,ZCTA5 01525,82361,33598
8600000US01527,01527,ZCTA5 01527,72566,7723
8600000US01529,01529,ZCTA5 01529,91250,9567
8600000US01531,01531,ZCTA5 01531,81389,8334
8600000US01532,01532,ZCTA5 01532,110147,5474
8600000US01534,01534,ZCTA5 01534,95238,16506
8600000US01535,01535,ZCTA5 01535,70873,6371
8600000US01536,01536,ZCTA5 01536,94766,10852
8600000US01537,01537,ZCTA5 01537,76114,11912
8600000US01540,01540,ZCTA5 01540,60852,9046
8600000US01541,01541,ZCTA5 01541,121500,16922
8600000US01542,01542,ZCTA5 01542,94103,12879
8600000US01543,01543,ZCTA5 01543,95347,17455
8600000US01545,01545,ZCTA5 01545,99441,6111
8600000US01550,01550,ZCTA5 01550,48762,2816
8600000US01560,01560,ZCTA5 01560,80078,12295
8600000US01561,01561,ZCTA5 01561,-,**
8600000US01562,01562,ZCTA5 01562,65858,7053
8600000US01564,01564,ZCTA5 01564,104187,20721
8600000US01566,01566,ZCTA5 01566,98000,13846
8600000US01568,01568,ZCTA5 01568,115348,8424
8600000US01569,01569,ZCTA5 01569,90204,10377
8600000US01570,01570,ZCTA5 01570,51229,3364
8600000US01571,01571,ZCTA5 01571,62567,6013
