zipcode,median_income
ZCTA5 01341,89688
ZCTA5 01342,102219
ZCTA5 01343,83125
ZCTA5 01344,61563
ZCTA5 01346,56500
ZCTA5 01347,39211
ZCTA5 01349,60493
ZCTA5 01350,31750
ZCTA5 01351,81833
ZCTA5 01354,74167
ZCTA5 01355,68681
ZCTA5 01360,63963
ZCTA5 01364,37911
ZCTA5 01366,65774
ZCTA5 01367,50357
ZCTA5 01368,67333
ZCTA5 01370,54803
ZCTA5 01373,71174
ZCTA5 01375,53934
ZCTA5 01376,41836
ZCTA5 01378,56985
ZCTA5 01379,44750
ZCTA5 01420,50617
ZCTA5 01430,86219
ZCTA5 01431,89934
ZCTA5 01432,77462
ZCTA5 01434,54318
ZCTA5 01436,77083
ZCTA5 01438,70028
ZCTA5 01440,46410
ZCTA5 01450,117500
ZCTA5 01451,140192
ZCTA5 01452,84803
ZCTA5 01453,56577
ZCTA5 01460,108704
ZCTA5 01462,89706
ZCTA5 01463,84980
ZCTA5 01464,68864
ZCTA5 01467,131667
ZCTA5 01468,62589
ZCTA5 01469,81317
ZCTA5 01473,96953
ZCTA5 01474,98221
ZCTA5 01475,61998
ZCTA5 01501,71976
ZCTA5 01503,97614
ZCTA5 01504,75544
ZCTA5 01505,93197
ZCTA5 01506,63906
ZCTA5 01507,92227
ZCTA5 01510,60755
ZCTA5 01515,80714
ZCTA5 01516,88958
ZCTA5 01518,53664
ZCTA5 01519,114615
ZCTA5 01520,99575
ZCTA5 01521,75658
ZCTA5 01522,102602
ZCTA5 01523,97958
ZCTA5 01524,60288
ZCTA5 01525,82361
ZCTA5 01527,72566
ZCTA5 01529,91250
ZCTA5 01531,81389
ZCTA5 01532,110147
ZCTA5 01534,95238
ZCTA5 01535,70873
ZCTA5 01536,94766
ZCTA5 01537,76114
ZCTA5 01540,60852
ZCTA5 01541,121500
ZCTA5 01542,94103
ZCTA5 01543,95347
ZCTA5 01545,99441
ZCTA5 01550,48762
ZCTA5 01560,80078
ZCTA5 01561,0
ZCTA5 01562,65858
ZCTA5 01564,104187
ZCTA5 01566,98000
ZCTA5 01568,115348
ZCTA5 01569,90204
ZCTA5 01570,51229
ZCTA5 01571,62567
ZCTA5 01581,106915
ZCTA5 01583,74020
ZCTA5 01585,61298
ZCTA5 01588,60429
ZCTA5 01590,99692
ZCTA5 01602,62709
ZCTA5 01603,40967
ZCTA5 01604,50426
ZCTA5 01605,35446
ZCTA5 01606,65163
ZCTA5 01607,47068
ZCTA5 01608,18843
ZCTA5 01609,42863
ZCTA5 01610,31182
ZCTA5 01611,81971
ZCTA5 01612,94135
ZCTA5 01701,100788
ZCTA5 01702,51137
ZCTA5 01718,131484
ZCTA5 01719,103556
ZCTA5 01720,131413
ZCTA5 01721,103700
ZCTA5 01730,117688
ZCTA5 01731,84333
ZCTA5 01740,151023
ZCTA5 01741,167400
ZCTA5 01742,137991
ZCTA5 01745,120766
ZCTA5 01746,110295
ZCTA5 01747,99792
ZCTA5 01748,143190
ZCTA5 01749,80574
ZCTA5 01752,72222
ZCTA5 01754,90134
ZCTA5 01756,121298
ZCTA5 01757,73117
ZCTA5 01760,104600
ZCTA5 01770,158250
